sim_time_s,elapsed_s,x_m,y_m,z_m,control_mode
1.328000000000001,1.326000000000001,0.02060179333788548,-0.06785214272604283,0.19970013861131464,Rolling
1.362000000000001,1.360000000000001,0.022057331169235427,-0.07067162292606803,0.19970329755369914,Rolling
1.396000000000001,1.394000000000001,0.0235733002503834,-0.07351478587333742,0.19970641711254103,Rolling
1.430000000000001,1.428000000000001,0.02515029397145238,-0.07637975007836292,0.19970948314231698,Rolling
1.464000000000001,1.462000000000001,0.02678885261014804,-0.07926460498157124,0.19971248127316524,Rolling
1.498000000000001,1.496000000000001,0.02848945994178534,-0.08216740483996338,0.19971539700945729,Rolling
1.5320000000000011,1.5300000000000011,0.030252539657224967,-0.08508616298563336,0.19971821583797605,Rolling
1.5660000000000012,1.5640000000000012,0.03207845162772348,-0.08801884652440045,0.19972092334479907,Rolling
1.6000000000000012,1.5980000000000012,0.03396748806076692,-0.09096337154333983,0.19972350533968308,Rolling
1.6340000000000012,1.6320000000000012,0.03591986959574775,-0.09391759889540766,0.19972594798644744,Rolling
1.6680000000000013,1.6660000000000013,0.0379357413927128,-0.09687933062750634,0.19972823793756814,Rolling
1.7020000000000013,1.7000000000000013,0.04001516927120303,-0.09984630711511386,0.19973036247093998,Rolling
1.7360000000000013,1.7340000000000013,0.04215813595927107,-0.10281620496192113,0.19973230962653993,Rolling
1.7700000000000014,1.7680000000000013,0.0443645375149492,-0.10578663571673762,0.19973406834055443,Rolling
1.8040000000000014,1.8020000000000014,0.04663417998360854,-0.10875514545222931,0.1997356285744166,Rolling
1.8380000000000014,1.8360000000000014,0.04896677635467391,-0.11171921524088375,0.1997369814361456,Rolling
1.8720000000000014,1.8700000000000014,0.051361943879936735,-0.11467626255304249,0.19973811929140547,Rolling
1.9060000000000015,1.9040000000000015,0.05381920181316295,-0.11762364359004035,0.1997390358617883,Rolling
1.9400000000000015,1.9380000000000015,0.05633796962678543,-0.12055865655263112,0.19973972630800307,Rolling
1.9740000000000015,1.9720000000000015,0.05891756575619557,-0.12347854583119894,0.19974018729589266,Rolling
2.0080000000000005,2.0060000000000007,0.061557206915547745,-0.12638050709003726,0.19974041704351816,Rolling
2.0419999999999967,2.039999999999997,0.06425600802114659,-0.12926169320353986,0.1997404153479304,Rolling
2.075999999999993,2.073999999999993,0.06701298274953181,-0.13211922098784926,0.19974018359068083,Rolling
2.109999999999989,2.1079999999999894,0.06982704474748343,-0.1349501786577134,0.1997397247216026,Rolling
